Date,Year,Quarter,Month,Month in text,Week,Day
2023-11-27 00:00:00,2023,4,11,November,48,27
2023-11-28 00:00:00,2023,4,11,November,48,28
2023-11-29 00:00:00,2023,4,11,November,48,29
2023-11-30 00:00:00,2023,4,11,November,48,30
2023-12-01 00:00:00,2023,4,12,December,48,1
2023-12-02 00:00:00,2023,4,12,December,48,2
2023-12-03 00:00:00,2023,4,12,December,49,3
2023-12-04 00:00:00,2023,4,12,December,49,4
2023-12-05 00:00:00,2023,4,12,December,49,5
2023-12-06 00:00:00,2023,4,12,December,49,6
2023-12-07 00:00:00,2023,4,12,December,49,7
2023-12-08 00:00:00,2023,4,12,December,49,8
2023-12-09 00:00:00,2023,4,12,December,49,9
2023-12-10 00:00:00,2023,4,12,December,50,10
2023-12-11 00:00:00,2023,4,12,December,50,11
2023-12-12 00:00:00,2023,4,12,December,50,12
2023-12-13 00:00:00,2023,4,12,December,50,13
2023-12-14 00:00:00,2023,4,12,December,50,14
2023-12-15 00:00:00,2023,4,12,December,50,15
2023-12-16 00:00:00,2023,4,12,December,50,16
2023-12-17 00:00:00,2023,4,12,December,51,17
2023-12-18 00:00:00,2023,4,12,December,51,18
2023-12-19 00:00:00,2023,4,12,December,51,19
2023-12-20 00:00:00,2023,4,12,December,51,20
2023-12-21 00:00:00,2023,4,12,December,51,21
2023-12-22 00:00:00,2023,4,12,December,51,22
2023-12-23 00:00:00,2023,4,12,December,51,23
2023-12-24 00:00:00,2023,4,12,December,52,24
2023-12-25 00:00:00,2023,4,12,December,52,25
2023-12-26 00:00:00,2023,4,12,December,52,26
2023-12-27 00:00:00,2023,4,12,December,52,27
2023-12-28 00:00:00,2023,4,12,December,52,28
2023-12-29 00:00:00,2023,4,12,December,52,29
2023-12-30 00:00:00,2023,4,12,December,52,30
2023-12-31 00:00:00,2023,4,12,December,53,31
